ID,Provider Name,Provider Address,Provider City,Provider State,PostalCode,Phone1_Type,Phone1_Number,Phone2_Type,Phone2_Number,FaxNumber,WebsiteUrl,USEFUL,FINDABLE,USABLE,TOTAL_SCORE,NOTES,Medicare,EmailAddress,ContactName,ContactBusinessTitle,HOUSING,COMMUNITY SUPPORT & HEALTH SERVICES,OUTDOOR SPACES AND BUILDINGS,RESPECT AND SOCIAL INCLUSION,TRANSPORT,CIVIC PARTICIPATION & EMPLOYMENT,COMMUNICATION & INFORMATION,SOCIAL PARTICIPATION,Elderly and Disabled,Assisted Living,Independent Living,Bridge to Independence,Traumatic Brain Injury / Spinal Cord Injury,Intellectual Disability / Developmental Disability,Private Pay: Credit,Private Pay: Cash,Other,Private Insurance,Medicaid,Private Pay: Check
50,All American Medical Supplies ,641 East Venice Avenue,Venice,FL,34285,Main,8669843047,,,,,1,1,1,3,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
51,Allegiance Specialty Hospital,"300 South Washington Avenue, Floor 3",Greenville,MS,38701,Other,6623327344,,,(662) 332-7925,https://greenvilleash.com/,7,7,7,21,,1,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
52,Alliance of Genetic Support Group ,4301 Connecticut Avenue,Washington,DC,20008-2369,Main,2029665557,Other,2029668553,,www.geneticalliance.org,1,1,1,3,,0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
53,All Mississippi Hearing/Byram  ,"5560 I-55 South, Suite A",Byram,MS,39272,Main,6013734383,,,(601) 373-9445,www.allmshearing.com/,6,7,7,20,6 in useful for no medicare acceptance,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
54,Allred's Pharmacies ,214 West Gallatin Street ,Hazlehurst,MS,39083,Main,6018943571,,,(601) 894-3777,,1,1,1,3,temporarily closed,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0
55,All Saints Episcopal Church*,608 West Jefferson Street,Tupelo,MS,38804,Main,6628420204,Other,6628424386,,https://allsaintstupelo.org/,4,4,4,12,,0,welcome@allsaintstupelo.org,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
56,All States Medical Supply* ,221 Old Hendersonville Road,Fletcher,NC,28732,Main,8286518297,,,,https://allstatesmedical.com,1,1,1,3,web link doesn't work,0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
57,Alpha & Omega Personal Care Home,131 South Prentiss Street,Jackson,MS,39203,Toll Free Hotline,8775236523,Main,6013540783,,,1,1,1,3,PERMANENTLY CLOSED,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
58,ALS Association of Mississippi ,"11725 Industriplex Boulevard, Suite 4",Baton Rouge,LA,70809,Main,6019921825,,,,webla.alsa.org/,5,5,5,15,website link to information about resources for ALS. Would be useful for individuals diagnosed with ALS and caregivers caring for someone with ALS. very specific service,0,adamseoc@adamscountyms.gov,,,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
59,"Alzheimer's Mississippi, Inc. ",855 South Pear Orchard Road,Ridgeland,MS,39157,Main,6019870020,Toll Free Hotline,8776306190,(844) 587-9159,https://www.alz.org/ms,6,6,7,19,great for caregivers--many support groups and education,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
60,Ambulatory Equipment Services*,526c Deerfield Dr,Forest,MS,39074,Main,6014693310,,,(601) 469-3333,,1,1,1,3,,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
61,"Amedeo Home Care Services, LLC",Suite 5,Vicksburg,MS,39180,Main,6012186380,,,,https://www.amedeohomecare.com,6,7,7,20,,0,asiamone712@yahoo.com,Catina Wilson,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1
62,Amedisys Home Health - Biloxi*,152 Gateway Drive,Biloxi,MS,39531,Main,2283884144,,,,www.amedisys.com ,7,7,7,21,,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
63,Amedisys Home Health Care - Biloxi*,925 Tommy Munro Drive,Biloxi,MS,39532,Main,2283884144,Toll Free Hotline,8002735212,(228) 385-7704,www.amedisys.com ,7,7,7,21,,1,,Pamela Shaw,Business Office Manager,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
64,Amedisys Home Health Care - Collins*,18 Melody Lane,Collins,MS,39428,Main,6017658316,Toll Free Hotline,8668735734,(601) 765-8298,www.amedisys.com,7,7,7,21,,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
65,Amedisys Home Health Care - Hattiesburg*,"132 Mayfair Road, Suite 1",Hattiesburg,MS,39402,Main,6012969710,Toll Free Hotline,8664012904,(601) 296-9688,www.amedisys.com,7,7,7,21,,1,,Michelle Johnson,Director of Operations,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
66,Amedisys Home Health Care - Pascagoula*,4211 Hospital Street,Pascagoula,MS,39581,Main,2286960336,After Hours,8665110336,(228) 696-0298,www.amedisys.com,7,7,7,21,,1,,Brandy Green,Director,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
67,Amedisys Home Health Care - Picayune*,509 Highway 11 North,Picayune,MS,39466,Main,6017992626,Toll Free Hotline,8669100353,(601) 799-0839,www.amedisys.com,7,7,7,21,,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
68, Amedisys Home Health Care/Meridian*,"2900 North Hills Street, Suite A",Meridian,MS,39305,Main,6017992626,Toll Free Hotline,8669100353,(601) 484-3133,www.amedisys.com,7,7,7,21,,1,,Robin Winstead,Director,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
69,American Medical Response*,12020 Intraplex Parkway,Gulfport,MS,39503,Main,2288971196,,,,www.amer-corp.com ,1,1,1,3,ambulatory service,1,,,,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
70,"American Medical Supplies, Inc.",3300 Southwest 15th Street,Deerfield,FL,33442,Main,5613627105,,,(601) 321-1201,,1,1,1,3,,1,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
71,American Medical Technologies ,17595 Cartwright Road,Irvine,CA,92614,Main,7145560200,,,(601) 321-1201,,1,1,1,3,,1,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
72,American Medical Transportation ,3026 Scheibler Road,Memphis,TN,38128,Main,9013710590,,,(662) 624-4354,,1,1,1,3,,0,adamseoc@adamscountyms.gov,,,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
73,"American Quality Healthcare, Incorporated",920 Fredrika Street,Owensboro,KY,42301,Main,2706840005,,,,,1,1,1,3,,1,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
74,American Red Cross Southeast Chapter - Meridian*,"1815 Highway 39 North, Suite C",Meridian,MS,39301,Main,6014855151,,,(601) 485-1084,www.redcross.org/local/al-ms/about-us/locations/southeast-mississippi.html ,5,7,7,19,"a good resource for caretakers, but not so much aging populations. Unless they're involved in a house fire or other natural disaster",0,angie.grajeda@redcross.org,Angie Grajeda,Disaster Program Manager,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
75,American Regent,Post Office Box 9001 ,Shirley,NY,11967,Main,6319241731,Other,6319244000,,http://www.americanregent.com/ ,5,5,5,15,"they sell injectable drugs (meds). Looks like you can partner with them as a business, but doesn't directly benefit an individual",0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
76,Ancor Adult Daycare Center,615 Desoto Avenue ,Clarksdale,MS,38614,Main,6626275317,,,,,1,1,1,3,phone number not in service. Google provides same numbers,0,,Bertrand Antoine,CEO/Principal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
77,Ancor Adult Day Care Center ,103 West Gay Street,Charleston,MS,38921,Main,6626473880,,,,,1,1,1,3,phone number not in service. Google provides same numbers,0,wecareadult@att.net,Bertrand Antoine,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78,Ancor Adult Day Care Center*,814 Hancock Street,Tutwiler,MS,38963,Main,6624532481,Other,6623450222,,,1,1,1,3,phone number not in service. Google provides same numbers,0,wecareadult@att.net,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
79,Anderson Regional Cancer Center,1704 23rd Avenue,Meridian,MS,39301,Main,6014855081,,,,https://www.andersonregional.org/locations/anderson-regional-cancer-center/,6,7,7,20,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
80,Anderson Regional Medical Center*,2124 14th Street,Meridian,MS,39301,Main,6015536000,,,,https://www.andersonregional.org/locations/,6,7,7,20,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
81,Anderson Regional Medical Center-South Campus*,1102 Constitution Avenue,Meridian,MS,39301,Main,6014843590,,,,https://www.andersonregional.org/locations/,6,7,7,20,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
82,Angel Adult Center,513 East Walnut Street ,Ripley,MS,38663,Main,6625121502,,,,https://www.angelhomemakerservices.com,7,7,7,21,,0,rtaylor@amitecountyms.gov,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,Angel Adult Center II,8869 Highway 51 South,Courtland,MS,38620,Main,6625619797,,,(662) 561-9793,https://www.angelhomemakerservices.com,7,7,7,21,,0,jbflint.angel@gmail.com,Janet Flint,Director,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
84,Angel Homemaker Services*,200 Glassco Street,Cleveland,MS,38732,Main,6628433785,Contact Person,6623473785,,https://www.angelhomemakerservices.com,7,7,7,21,,0,,Nora Pegeus,Member,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
85,Angel Keeper Adult Day Care ,812 B Highway 82 East,Leland,MS,38756,Main,6627715166,,,,,1,1,1,3,phone number no longer active. cannot locate new number,0,,Viola McCaskill,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
86,Angels at Home LLC*,4887 Marianna Road,Holly Springs,MS,38635,Main,9012709825,,,,,1,1,1,3,phone number not in service,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
87,Anguilla Family Apartments*,224 Robbins Street,Rolling Fork,MS,39159,Main,6628739300,,,,,1,1,1,3,,0,rtaylor@amitecountyms.gov,,,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
88,"Animas Diabetes Care, LLC",965 Chesterbrook Boulevard,Wayne,PA,19087,Main,8779377867,,,,,1,1,1,3,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
89,"AN IV, LLC",4565 Shelby Road,Millington,TN,38053,Main,9018722648,,,,,1,1,1,3,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
90,Anointed Personal Care and Respite Services,3800 Yarbro St Apt 305,Jackson ,MS,39204,Main,6016659008,,,(601) 345-8379,,,,,0,call 1: no answer,0,,Pamela McLin,Director,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
91,APELAH,2022 Oak Tree Cove ,Hernando,MS,38632,Main,6624293652,,,,Apelah.org ,2,7,7,16,this is a resource for foster parents (current and prospective),1,,,,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1
92,"APM Providers, Inc.",1823 3rd Street North,Jax Beach,FL,32250,Main,9042415310,,,,http://newrelic.com/,1,1,1,3,link to site for data stuff--irrelevant ,1,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
